entity_id,name,store_view,store_name,image,url_path,available_sort_by,breadcrumbs_priority,category_seo_name,category_sort_no,custom_apply_to_products,custom_design,custom_design_from,custom_design_to,custom_layout_update,custom_layout_update_file,custom_use_parent_settings,default_sort_by,description,display_mode,filter_price_range,include_in_menu,in_html_sitemap,in_xml_sitemap,is_active,is_anchor,is_popular,landing_page,meta_description,meta_keywords,meta_robots,meta_title,page_layout,path,path_in_store,position,redirect_priority,thumbnail,url_key,use_in_crosslinking
63,"Default Category/Products/HVAC/HVAC Pressure Switches",admin,,,products/hvac/hvac-pressure-switches,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/59/63,,3,0,,hvac-pressure-switches,Yes
64,"Default Category/Products/Control & Automation",default,,,products/control-automation,,0,,4,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/64,,8,0,,control-automation,Yes
64,"Default Category/Products/Control & Automation",admin,,,products/control-automation,,0,,4,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/64,,8,0,,control-automation,Yes
65,"Default Category/Products/Control & Automation/Photoelectric Sensors",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_1_1.jpg,products/control-automation/photoelectric-sensors,,0,,1,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/64/65,,3,0,,photoelectric-sensors,Yes
65,"Default Category/Products/Control & Automation/Photoelectric Sensors",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_1_1.jpg,products/control-automation/photoelectric-sensors,,0,,1,No,,,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/64/65,,3,0,,photoelectric-sensors,Yes
66,"Default Category/Products/Control & Automation/Photoelectric Sensors/Fiber Optic",default,,,products/control-automation/photoelectric-sensors/fiber-optic,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/64/65/66,,1,0,,fiber-optic,Yes
66,"Default Category/Products/Control & Automation/Photoelectric Sensors/Fiber Optic",admin,,,products/control-automation/photoelectric-sensors/fiber-optic,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/64/65/66,,1,0,,fiber-optic,Yes
67,"Default Category/Products/Control & Automation/Photoelectric Sensors/Wet Processes and Fiber Units",default,,,products/control-automation/photoelectric-sensors/wet-processes-and-fiber-units,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/64/65/67,,2,0,,wet-processes-and-fiber-units,Yes
67,"Default Category/Products/Control & Automation/Photoelectric Sensors/Wet Processes and Fiber Units",admin,,,products/control-automation/photoelectric-sensors/wet-processes-and-fiber-units,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/64/65/67,,2,0,,wet-processes-and-fiber-units,Yes
68,"Default Category/Products/Control & Automation/Photoelectric Sensors/Special Applications",default,,,products/control-automation/photoelectric-sensors/special-applications,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/64/65/68,,3,0,,special-applications,Yes
